invoice_id,po_id,delivery_id,supplier_id,invoice_date,due_date,amount_pkr,payment_terms_days
INV-000024,PO-000024,DEL-000024,SUP-001,2025-03-14,2025-04-13,3936415.79,30
INV-000025,PO-000025,DEL-000025,SUP-001,2025-03-20,2025-04-19,4740442.14,30
INV-000026,PO-000026,DEL-000026,SUP-001,2025-03-19,2025-04-18,3035668.1,30
INV-000027,PO-000027,DEL-000027,SUP-001,2025-03-23,2025-04-22,4418746.14,30
INV-000028,PO-000028,DEL-000028,SUP-001,2025-03-25,2025-04-24,3743937.97,30
INV-000029,PO-000029,DEL-000029,SUP-001,2025-03-28,2025-04-27,4964974.8,30
INV-000030,PO-000030,DEL-000030,SUP-001,2025-03-31,2025-04-30,3650433.57,30
INV-000031,PO-000031,DEL-000031,SUP-001,2025-04-06,2025-05-06,3849814.61,30
INV-000032,PO-000032,DEL-000032,SUP-001,2025-04-08,2025-05-08,2867865.63,30
INV-000033,PO-000033,DEL-000033,SUP-001,2025-04-11,2025-05-11,2613676.17,30
INV-000034,PO-000034,DEL-000034,SUP-001,2025-04-15,2025-05-15,3594235.49,30
INV-000035,PO-000035,DEL-000035,SUP-001,2025-04-17,2025-05-17,2290013.12,30
INV-000036,PO-000036,DEL-000036,SUP-001,2025-04-19,2025-05-19,3716604.65,30
INV-000037,PO-000037,DEL-000037,SUP-001,2025-04-21,2025-05-21,3336684.64,30
INV-000038,PO-000038,DEL-000038,SUP-001,2025-04-24,2025-05-24,3209417.84,30
INV-000039,PO-000039,DEL-000039,SUP-001,2025-04-28,2025-05-28,3833614.31,30
INV-000040,PO-000040,DEL-000040,SUP-001,2025-04-30,2025-05-30,3099379.23,30
INV-000041,PO-000041,DEL-000041,SUP-001,2025-05-07,2025-06-06,3099024.78,30
INV-000042,PO-000042,DEL-000042,SUP-001,2025-05-08,2025-06-07,2408624.19,30
INV-000043,PO-000043,DEL-000043,SUP-001,2025-05-11,2025-06-10,3068872.89,30
INV-000044,PO-000044,DEL-000044,SUP-001,2025-05-12,2025-06-11,2880699.16,30
INV-000045,PO-000045,DEL-000045,SUP-001,2025-05-18,2025-06-17,2499113.95,30
INV-000046,PO-000046,DEL-000046,SUP-001,2025-05-19,2025-06-18,2730162.27,30
INV-000047,PO-000047,DEL-000047,SUP-001,2025-05-21,2025-06-20,2292555.85,30
INV-000048,PO-000048,DEL-000048,SUP-001,2025-05-25,2025-06-24,2717024.18,30
INV-000049,PO-000049,DEL-000049,SUP-001,2025-05-30,2025-06-29,1930773.37,30
INV-000050,PO-000050,DEL-000050,SUP-001,2025-05-31,2025-06-30,2407131.31,30
INV-000051,PO-000051,DEL-000051,SUP-001,2025-06-06,2025-07-06,2486793.84,30
INV-000052,PO-000052,DEL-000052,SUP-001,2025-06-07,2025-07-07,2226983.93,30
INV-000053,PO-000053,DEL-000053,SUP-001,2025-06-10,2025-07-10,2611572.55,30
INV-000054,PO-000054,DEL-000054,SUP-001,2025-06-13,2025-07-13,2182247.95,30
INV-000055,PO-000055,DEL-000055,SUP-001,2025-06-14,2025-07-14,2652021.18,30
INV-000056,PO-000056,DEL-000056,SUP-001,2025-06-18,2025-07-18,2002790.66,30
INV-000057,PO-000057,DEL-000057,SUP-001,2025-06-21,2025-07-21,2624882.59,30
INV-000058,PO-000058,DEL-000058,SUP-001,2025-06-29,2025-07-29,2196255.89,30
INV-000059,PO-000059,DEL-000059,SUP-001,2025-06-29,2025-07-29,2133147.1,30
INV-000060,PO-000060,DEL-000060,SUP-001,2025-06-30,2025-07-30,2550981.35,30
INV-000061,PO-000061,DEL-000061,SUP-001,2025-07-02,2025-08-01,595765.93,30
INV-000062,PO-000062,DEL-000062,SUP-001,2025-01-03,2025-02-02,3328638.52,30
INV-000063,PO-000063,DEL-000063,SUP-001,2025-01-10,2025-02-09,2664333.56,30
INV-000064,PO-000064,DEL-000064,SUP-001,2025-01-12,2025-02-11,2285021.91,30
INV-000065,PO-000065,DEL-000065,SUP-001,2025-01-18,2025-02-17,2951963.2,30
INV-000066,PO-000066,DEL-000066,SUP-001,2025-01-17,2025-02-16,2069443.29,30
INV-000067,PO-000067,DEL-000067,SUP-001,2025-01-18,2025-02-17,3897719.44,30
INV-000068,PO-000068,DEL-000068,SUP-001,2025-01-23,2025-02-22,2419824.21,30
INV-000069,PO-000069,DEL-000069,SUP-001,2025-01-26,2025-02-25,3015551.24,30
INV-000070,PO-000070,DEL-000070,SUP-001,2025-01-27,2025-02-26,3210430.29,30
INV-000071,PO-000071,DEL-000071,SUP-001,2025-02-02,2025-03-04,2419360.54,30
INV-000072,PO-000072,DEL-000072,SUP-001,2025-02-03,2025-03-05,3910582.06,30
INV-000073,PO-000073,DEL-000073,SUP-001,2025-02-06,2025-03-08,2481903.22,30
INV-000074,PO-000074,DEL-000074,SUP-001,2025-02-09,2025-03-11,3931701.51,30
INV-000075,PO-000075,DEL-000075,SUP-001,2025-02-12,2025-03-14,2680873.49,30
INV-000076,PO-000076,DEL-000076,SUP-001,2025-02-16,2025-03-18,3346285.88,30
INV-000077,PO-000077,DEL-000077,SUP-001,2025-02-17,2025-03-19,3161559.55,30
INV-000078,PO-000078,DEL-000078,SUP-001,2025-02-20,2025-03-22,2637885.84,30
INV-000079,PO-000079,DEL-000079,SUP-001,2025-02-24,2025-03-26,4256750.45,30
INV-000080,PO-000080,DEL-000080,SUP-001,2025-02-27,2025-03-29,2571466.19,30
INV-000081,PO-000081,DEL-000081,SUP-001,2025-03-03,2025-04-02,5041414.68,30
INV-000082,PO-000082,DEL-000082,SUP-001,2025-03-05,2025-04-04,4860641.35,30
INV-000083,PO-000083,DEL-000083,SUP-001,2025-03-09,2025-04-08,6062463.29,30
INV-000084,PO-000084,DEL-000084,SUP-001,2025-03-14,2025-04-13,7089606.35,30
INV-000085,PO-000085,DEL-000085,SUP-001,2025-03-15,2025-04-14,4904407.18,30
INV-000086,PO-000086,DEL-000086,SUP-001,2025-03-16,2025-04-15,7699303.36,30
INV-000087,PO-000087,DEL-000087,SUP-001,2025-03-21,2025-04-20,5052445.1,30
INV-000088,PO-000088,DEL-000088,SUP-001,2025-03-23,2025-04-22,8007214.39,30
INV-000089,PO-000089,DEL-000089,SUP-001,2025-03-28,2025-04-27,4993118.92,30
INV-000090,PO-000090,DEL-000090,SUP-001,2025-03-29,2025-04-28,5655552.34,30
INV-000091,PO-000091,DEL-000091,SUP-001,2025-04-04,2025-05-04,6296920.54,30
INV-000092,PO-000092,DEL-000092,SUP-001,2025-04-06,2025-05-06,3594943.04,30
INV-000093,PO-000093,DEL-000093,SUP-001,2025-04-13,2025-05-13,4309159.1,30
INV-000094,PO-000094,DEL-000094,SUP-001,2025-04-10,2025-05-10,2464257.1,30
INV-000095,PO-000095,DEL-000095,SUP-001,2025-04-16,2025-05-16,4549124.58,30
INV-000096,PO-000096,DEL-000096,SUP-001,2025-04-15,2025-05-15,3192505.82,30
INV-000097,PO-000097,DEL-000097,SUP-001,2025-04-18,2025-05-18,3911883.95,30
INV-000098,PO-000098,DEL-000098,SUP-001,2025-04-23,2025-05-23,4266159.77,30
INV-000099,PO-000099,DEL-000099,SUP-001,2025-04-25,2025-05-25,2810670.62,30
INV-000100,PO-000100,DEL-000100,SUP-001,2025-04-29,2025-05-29,5012278.1,30
INV-000101,PO-000101,DEL-000101,SUP-001,2025-04-30,2025-05-30,2906226.11,30
INV-000102,PO-000102,DEL-000102,SUP-001,2025-05-03,2025-06-02,4120187.42,30
INV-000103,PO-000103,DEL-000103,SUP-001,2025-05-06,2025-06-05,2687847.16,30
INV-000104,PO-000104,DEL-000104,SUP-001,2025-05-10,2025-06-09,2984188.78,30
INV-000105,PO-000105,DEL-000105,SUP-001,2025-05-14,2025-06-13,3276650.67,30
INV-000106,PO-000106,DEL-000106,SUP-001,2025-05-17,2025-06-16,2681785.69,30
INV-000107,PO-000107,DEL-000107,SUP-001,2025-05-19,2025-06-18,3666744.12,30
INV-000108,PO-000108,DEL-000108,SUP-001,2025-05-21,2025-06-20,2036164.43,30
INV-000109,PO-000109,DEL-000109,SUP-001,2025-05-30,2025-06-29,3419345.96,30
INV-000110,PO-000110,DEL-000110,SUP-001,2025-05-28,2025-06-27,2342936.13,30
INV-000111,PO-000111,DEL-000111,SUP-001,2025-05-31,2025-06-30,2986170.67,30
INV-000112,PO-000112,DEL-000112,SUP-001,2025-06-02,2025-07-02,2791289.41,30
INV-000113,PO-000113,DEL-000113,SUP-001,2025-06-05,2025-07-05,2209839.19,30
INV-000114,PO-000114,DEL-000114,SUP-001,2025-06-09,2025-07-09,3210481.33,30
INV-000115,PO-000115,DEL-000115,SUP-001,2025-06-11,2025-07-11,2285677.41,30
INV-000116,PO-000116,DEL-000116,SUP-001,2025-06-14,2025-07-14,3389989.89,30
INV-000117,PO-000117,DEL-000117,SUP-001,2025-06-19,2025-07-19,2466582.98,30
INV-000118,PO-000118,DEL-000118,SUP-001,2025-06-23,2025-07-23,2999949.88,30
INV-000119,PO-000119,DEL-000119,SUP-001,2025-06-25,2025-07-25,2988267.5,30
INV-000120,PO-000120,DEL-000120,SUP-001,2025-06-27,2025-07-27,2330428.91,30
INV-000121,PO-000121,DEL-000121,SUP-001,2025-07-01,2025-07-31,3861513.12,30
INV-000122,PO-000122,DEL-000122,SUP-001,2025-07-03,2025-08-02,617640.65,30
INV-000123,PO-000123,DEL-000123,SUP-002,2025-01-05,2025-02-04,877848.82,30
INV-000124,PO-000124,DEL-000124,SUP-002,2025-01-11,2025-02-10,959720.51,30
INV-000125,PO-000125,DEL-000125,SUP-002,2025-01-11,2025-02-10,830360.16,30
INV-000126,PO-000126,DEL-000126,SUP-002,2025-01-17,2025-02-16,1162272.51,30
INV-000127,PO-000127,DEL-000127,SUP-002,2025-01-19,2025-02-18,696482.33,30
INV-000128,PO-000128,DEL-000128,SUP-002,2025-01-21,2025-02-20,1093371.59,30
INV-000129,PO-000129,DEL-000129,SUP-002,2025-01-23,2025-02-22,809543.11,30
INV-000130,PO-000130,DEL-000130,SUP-002,2025-01-24,2025-02-23,929989.54,30
INV-000131,PO-000131,DEL-000131,SUP-002,2025-01-27,2025-02-26,944810.82,30
INV-000132,PO-000132,DEL-000132,SUP-002,2025-01-31,2025-03-02,746875.05,30
INV-000133,PO-000133,DEL-000133,SUP-002,2025-02-03,2025-03-05,1171240.16,30
INV-000134,PO-000134,DEL-000134,SUP-002,2025-02-05,2025-03-07,746140.94,30
INV-000135,PO-000135,DEL-000135,SUP-002,2025-02-09,2025-03-11,1176475.47,30
INV-000136,PO-000136,DEL-000136,SUP-002,2025-02-12,2025-03-14,880279.79,30
INV-000137,PO-000137,DEL-000137,SUP-002,2025-02-15,2025-03-17,1003333.82,30
INV-000138,PO-000138,DEL-000138,SUP-002,2025-02-19,2025-03-21,846716.98,30
INV-000139,PO-000139,DEL-000139,SUP-002,2025-02-21,2025-03-23,775714.33,30
INV-000140,PO-000140,DEL-000140,SUP-002,2025-02-23,2025-03-25,1190025.96,30
INV-000141,PO-000141,DEL-000141,SUP-002,2025-02-27,2025-03-29,770168.11,30
INV-000142,PO-000142,DEL-000142,SUP-002,2025-03-04,2025-04-03,1182047.33,30
INV-000143,PO-000143,DEL-000143,SUP-002,2025-03-05,2025-04-04,1331467.45,30
INV-000144,PO-000144,DEL-000144,SUP-002,2025-03-09,2025-04-08,1412371.77,30
INV-000145,PO-000145,DEL-000145,SUP-002,2025-03-11,2025-04-10,1512292.62,30
INV-000146,PO-000146,DEL-000146,SUP-002,2025-03-13,2025-04-12,1300621.91,30
INV-000147,PO-000147,DEL-000147,SUP-002,2025-03-16,2025-04-15,1829601.98,30
INV-000148,PO-000148,DEL-000148,SUP-002,2025-03-21,2025-04-20,1147266.5,30
INV-000149,PO-000149,DEL-000149,SUP-002,2025-03-24,2025-04-23,1630720.02,30
INV-000150,PO-000150,DEL-000150,SUP-002,2025-03-30,2025-04-29,1463242.0,30
INV-000151,PO-000151,DEL-000151,SUP-002,2025-03-30,2025-04-29,1237378.43,30
INV-000152,PO-000152,DEL-000152,SUP-002,2025-04-03,2025-05-03,1661514.73,30
INV-000153,PO-000153,DEL-000153,SUP-002,2025-04-03,2025-05-03,1197834.65,30
INV-000154,PO-000154,DEL-000154,SUP-002,2025-04-08,2025-05-08,1052604.63,30
INV-000155,PO-000155,DEL-000155,SUP-002,2025-04-13,2025-05-13,806495.19,30
INV-000156,PO-000156,DEL-000156,SUP-002,2025-04-14,2025-05-14,1240405.54,30
INV-000157,PO-000157,DEL-000157,SUP-002,2025-04-16,2025-05-16,1042630.3,30
INV-000158,PO-000158,DEL-000158,SUP-002,2025-04-18,2025-05-18,1295035.48,30
INV-000159,PO-000159,DEL-000159,SUP-002,2025-04-23,2025-05-23,1212257.14,30
INV-000160,PO-000160,DEL-000160,SUP-002,2025-04-29,2025-05-29,1015497.37,30
INV-000161,PO-000161,DEL-000161,SUP-002,2025-04-27,2025-05-27,1418019.31,30
INV-000162,PO-000162,DEL-000162,SUP-002,2025-05-01,2025-05-31,933968.46,30
INV-000163,PO-000163,DEL-000163,SUP-002,2025-05-04,2025-06-03,1075805.41,30
INV-000164,PO-000164,DEL-000164,SUP-002,2025-05-08,2025-06-07,898969.05,30
INV-000165,PO-000165,DEL-000165,SUP-002,2025-05-16,2025-06-15,1027122.46,30
INV-000166,PO-000166,DEL-000166,SUP-002,2025-05-14,2025-06-13,1098952.15,30
INV-000167,PO-000168,DEL-000167,SUP-002,2025-05-18,2025-06-17,1115792.5,30
INV-000168,PO-000169,DEL-000168,SUP-002,2025-05-22,2025-06-21,774509.26,30
INV-000169,PO-000170,DEL-000169,SUP-002,2025-05-26,2025-06-25,951529.41,30
INV-000170,PO-000171,DEL-000170,SUP-002,2025-05-29,2025-06-28,846255.93,30
INV-000171,PO-000172,DEL-000171,SUP-002,2025-05-31,2025-06-30,939738.34,30
INV-000172,PO-000173,DEL-000172,SUP-002,2025-06-02,2025-07-02,921534.2,30
INV-000173,PO-000174,DEL-000173,SUP-002,2025-06-06,2025-07-06,703315.2,30
INV-000174,PO-000175,DEL-000174,SUP-002,2025-06-09,2025-07-09,980355.96,30
INV-000175,PO-000176,DEL-000175,SUP-002,2025-06-14,2025-07-14,661150.75,30
INV-000176,PO-000177,DEL-000176,SUP-002,2025-06-15,2025-07-15,929304.09,30
INV-000177,PO-000178,DEL-000177,SUP-002,2025-06-17,2025-07-17,753593.08,30
INV-000178,PO-000179,DEL-000178,SUP-002,2025-06-21,2025-07-21,839065.36,30
INV-000179,PO-000180,DEL-000179,SUP-002,2025-06-24,2025-07-24,874249.96,30
INV-000180,PO-000181,DEL-000180,SUP-002,2025-06-29,2025-07-29,743912.36,30
INV-000181,PO-000182,DEL-000181,SUP-002,2025-07-02,2025-08-01,975913.31,30
INV-000182,PO-000183,DEL-000182,SUP-002,2025-07-03,2025-08-02,234918.41,30
INV-000183,PO-000184,DEL-000183,SUP-001,2025-01-07,2025-02-06,4180250.23,30
INV-000184,PO-000185,DEL-000184,SUP-001,2025-01-09,2025-02-08,3534206.24,30
INV-000185,PO-000186,DEL-000185,SUP-001,2025-01-11,2025-02-10,2520871.18,30
INV-000186,PO-000187,DEL-000186,SUP-001,2025-01-14,2025-02-13,4576682.2,30
INV-000187,PO-000188,DEL-000187,SUP-001,2025-01-15,2025-02-14,2625518.69,30
INV-000188,PO-000189,DEL-000188,SUP-001,2025-01-18,2025-02-17,4939619.89,30
INV-000189,PO-000190,DEL-000189,SUP-001,2025-01-23,2025-02-22,2934882.38,30
INV-000190,PO-000192,DEL-000190,SUP-001,2025-01-31,2025-03-02,3686069.47,30
INV-000191,PO-000193,DEL-000191,SUP-001,2025-02-01,2025-03-03,3022791.59,30
INV-000192,PO-000194,DEL-000192,SUP-001,2025-02-06,2025-03-08,5133780.07,30
INV-000193,PO-000196,DEL-000193,SUP-001,2025-02-09,2025-03-11,4593917.88,30
INV-000194,PO-000197,DEL-000194,SUP-001,2025-02-11,2025-03-13,3538648.16,30
INV-000195,PO-000198,DEL-000195,SUP-001,2025-02-20,2025-03-22,4428881.77,30
INV-000196,PO-000199,DEL-000196,SUP-001,2025-02-19,2025-03-21,4250952.04,30
INV-000197,PO-000200,DEL-000197,SUP-001,2025-02-21,2025-03-23,3340695.35,30
INV-000198,PO-000201,DEL-000198,SUP-001,2025-02-25,2025-03-27,5620465.92,30
INV-000199,PO-000202,DEL-000199,SUP-001,2025-02-28,2025-03-30,3049165.02,30
INV-000200,PO-000203,DEL-000200,SUP-001,2025-03-03,2025-04-02,7204154.77,30
INV-000201,PO-000204,DEL-000201,SUP-001,2025-03-05,2025-04-04,5779087.47,30
INV-000202,PO-000205,DEL-000202,SUP-001,2025-03-08,2025-04-07,8573816.28,30
INV-000203,PO-000206,DEL-000203,SUP-001,2025-03-10,2025-04-09,8200716.49,30
INV-000204,PO-000207,DEL-000204,SUP-001,2025-03-14,2025-04-13,6086775.61,30
INV-000205,PO-000208,DEL-000205,SUP-001,2025-03-17,2025-04-16,9788357.41,30
INV-000206,PO-000209,DEL-000206,SUP-001,2025-03-23,2025-04-22,5762644.19,30
INV-000207,PO-000210,DEL-000207,SUP-001,2025-03-24,2025-04-23,9655850.33,30
INV-000208,PO-000211,DEL-000208,SUP-001,2025-03-26,2025-04-25,7091652.14,30
INV-000209,PO-000212,DEL-000209,SUP-001,2025-03-30,2025-04-29,8096819.43,30
INV-000210,PO-000213,DEL-000210,SUP-001,2025-04-01,2025-05-01,7914717.69,30
INV-000211,PO-000214,DEL-000211,SUP-001,2025-04-04,2025-05-04,4021008.97,30
INV-000212,PO-000215,DEL-000212,SUP-001,2025-04-07,2025-05-07,5117411.48,30
INV-000213,PO-000216,DEL-000213,SUP-001,2025-04-09,2025-05-09,3107174.89,30
INV-000214,PO-000217,DEL-000214,SUP-001,2025-04-16,2025-05-16,5430732.53,30
INV-000215,PO-000218,DEL-000215,SUP-001,2025-04-16,2025-05-16,3987767.67,30
INV-000216,PO-000219,DEL-000216,SUP-001,2025-04-21,2025-05-21,4157062.2,30
INV-000217,PO-000220,DEL-000217,SUP-001,2025-04-24,2025-05-24,5026596.74,30
INV-000218,PO-000221,DEL-000218,SUP-001,2025-04-26,2025-05-26,4048247.11,30
INV-000219,PO-000222,DEL-000219,SUP-001,2025-04-28,2025-05-28,6453741.82,30
INV-000220,PO-000223,DEL-000220,SUP-001,2025-05-02,2025-06-01,3330015.67,30
INV-000221,PO-000224,DEL-000221,SUP-001,2025-05-04,2025-06-03,5192090.82,30
INV-000222,PO-000225,DEL-000222,SUP-001,2025-05-08,2025-06-07,3440684.26,30
INV-000223,PO-000226,DEL-000223,SUP-001,2025-05-10,2025-06-09,4067743.68,30
INV-000224,PO-000227,DEL-000224,SUP-001,2025-05-15,2025-06-14,4149105.65,30
INV-000225,PO-000228,DEL-000225,SUP-001,2025-05-19,2025-06-18,2992479.04,30
INV-000226,PO-000229,DEL-000226,SUP-001,2025-05-21,2025-06-20,4333956.79,30
INV-000227,PO-000230,DEL-000227,SUP-001,2025-05-23,2025-06-22,2754801.55,30
INV-000228,PO-000231,DEL-000228,SUP-001,2025-05-24,2025-06-23,4816893.84,30
INV-000229,PO-000232,DEL-000229,SUP-001,2025-05-29,2025-06-28,2981091.6,30
INV-000230,PO-000233,DEL-000230,SUP-001,2025-06-02,2025-07-02,3199100.14,30
INV-000231,PO-000234,DEL-000231,SUP-001,2025-06-04,2025-07-04,3992729.75,30
INV-000232,PO-000235,DEL-000232,SUP-001,2025-06-07,2025-07-07,2826765.09,30
INV-000233,PO-000236,DEL-000233,SUP-001,2025-06-10,2025-07-10,4328537.53,30
INV-000234,PO-000237,DEL-000234,SUP-001,2025-06-11,2025-07-11,2679609.94,30
INV-000235,PO-000239,DEL-000235,SUP-001,2025-06-19,2025-07-19,2883176.03,30
INV-000236,PO-000240,DEL-000236,SUP-001,2025-06-21,2025-07-21,3972884.17,30
INV-000237,PO-000241,DEL-000237,SUP-001,2025-06-25,2025-07-25,3936671.68,30
INV-000238,PO-000242,DEL-000238,SUP-001,2025-06-27,2025-07-27,2997068.06,30
INV-000239,PO-000243,DEL-000239,SUP-001,2025-06-30,2025-07-30,4605619.04,30
INV-000240,PO-000244,DEL-000240,SUP-001,2025-07-04,2025-08-03,719418.97,30
INV-000241,PO-000245,DEL-000241,SUP-001,2025-01-05,2025-02-04,3393036.96,30
INV-000242,PO-000246,DEL-000242,SUP-001,2025-01-08,2025-02-07,3433137.62,30
INV-000243,PO-000247,DEL-000243,SUP-001,2025-01-11,2025-02-10,2653518.86,30
INV-000244,PO-000248,DEL-000244,SUP-001,2025-01-14,2025-02-13,4405357.99,30
INV-000245,PO-000249,DEL-000245,SUP-001,2025-01-16,2025-02-15,2318067.98,30
INV-000246,PO-000250,DEL-000246,SUP-001,2025-01-19,2025-02-18,4121750.26,30
INV-000247,PO-000251,DEL-000247,SUP-001,2025-01-21,2025-02-20,2869700.15,30
INV-000248,PO-000252,DEL-000248,SUP-001,2025-01-24,2025-02-23,3036306.83,30
INV-000249,PO-000253,DEL-000249,SUP-001,2025-01-28,2025-02-27,3365526.0,30
INV-000250,PO-000254,DEL-000250,SUP-001,2025-02-04,2025-03-06,2592091.74,30
INV-000251,PO-000255,DEL-000251,SUP-001,2025-02-05,2025-03-07,4281487.95,30
INV-000252,PO-000256,DEL-000252,SUP-001,2025-02-07,2025-03-09,2710956.16,30
INV-000253,PO-000257,DEL-000253,SUP-001,2025-02-09,2025-03-11,4405939.24,30
INV-000254,PO-000258,DEL-000254,SUP-001,2025-02-11,2025-03-13,2573880.89,30
INV-000255,PO-000259,DEL-000255,SUP-001,2025-02-15,2025-03-17,3423309.74,30
INV-000256,PO-000260,DEL-000256,SUP-001,2025-02-19,2025-03-21,3631653.35,30
INV-000257,PO-000261,DEL-000257,SUP-001,2025-02-21,2025-03-23,2605650.14,30
INV-000258,PO-000262,DEL-000258,SUP-001,2025-02-23,2025-03-25,4605877.64,30
INV-000259,PO-000263,DEL-000259,SUP-001,2025-02-27,2025-03-29,2622654.47,30
INV-000260,PO-000264,DEL-000260,SUP-001,2025-03-03,2025-04-02,4758251.77,30
INV-000261,PO-000265,DEL-000261,SUP-001,2025-03-04,2025-04-03,4966983.35,30
INV-000262,PO-000266,DEL-000262,SUP-001,2025-03-10,2025-04-09,7187202.82,30
INV-000263,PO-000267,DEL-000263,SUP-001,2025-03-12,2025-04-11,7206899.48,30
INV-000264,PO-000268,DEL-000264,SUP-001,2025-03-13,2025-04-12,5736206.73,30
INV-000265,PO-000269,DEL-000265,SUP-001,2025-03-17,2025-04-16,8225894.5,30
INV-000266,PO-000270,DEL-000266,SUP-001,2025-03-21,2025-04-20,4585015.68,30
INV-000267,PO-000271,DEL-000267,SUP-001,2025-03-23,2025-04-22,8164167.0,30
INV-000268,PO-000272,DEL-000268,SUP-001,2025-03-26,2025-04-25,5560978.47,30
INV-000269,PO-000273,DEL-000269,SUP-001,2025-03-29,2025-04-28,7081680.71,30
INV-000270,PO-000274,DEL-000270,SUP-001,2025-03-31,2025-04-30,6545585.91,30
INV-000271,PO-000275,DEL-000271,SUP-001,2025-04-05,2025-05-05,3649823.24,30
INV-000272,PO-000276,DEL-000272,SUP-001,2025-04-08,2025-05-08,4780035.39,30
INV-000273,PO-000277,DEL-000273,SUP-001,2025-04-09,2025-05-09,2816823.11,30
INV-000274,PO-000278,DEL-000274,SUP-001,2025-04-12,2025-05-12,4594613.94,30
INV-000275,PO-000279,DEL-000275,SUP-001,2025-04-15,2025-05-15,3571616.36,30
INV-000276,PO-000280,DEL-000276,SUP-001,2025-04-18,2025-05-18,4188705.24,30
INV-000277,PO-000281,DEL-000277,SUP-001,2025-04-23,2025-05-23,4432477.08,30
INV-000278,PO-000282,DEL-000278,SUP-001,2025-04-26,2025-05-26,3174388.06,30
INV-000279,PO-000283,DEL-000279,SUP-001,2025-04-28,2025-05-28,5149415.33,30
INV-000280,PO-000284,DEL-000280,SUP-001,2025-05-02,2025-06-01,2904291.86,30
INV-000281,PO-000285,DEL-000281,SUP-001,2025-05-03,2025-06-02,3770018.64,30
INV-000282,PO-000286,DEL-000282,SUP-001,2025-05-06,2025-06-05,2852342.8,30
INV-000283,PO-000287,DEL-000283,SUP-001,2025-05-10,2025-06-09,3508026.1,30
INV-000284,PO-000288,DEL-000284,SUP-001,2025-05-14,2025-06-13,3324434.17,30
INV-000285,PO-000289,DEL-000285,SUP-001,2025-05-16,2025-06-15,2494897.75,30
INV-000286,PO-000290,DEL-000286,SUP-001,2025-05-20,2025-06-19,4200395.66,30
INV-000287,PO-000292,DEL-000287,SUP-001,2025-05-27,2025-06-26,3177119.55,30
INV-000288,PO-000293,DEL-000288,SUP-001,2025-05-31,2025-06-30,2407319.09,30
INV-000289,PO-000294,DEL-000289,SUP-001,2025-05-31,2025-06-30,2961965.84,30
INV-000290,PO-000295,DEL-000290,SUP-001,2025-06-04,2025-07-04,2793992.1,30
INV-000291,PO-000296,DEL-000291,SUP-001,2025-06-08,2025-07-08,2480204.71,30
INV-000292,PO-000297,DEL-000292,SUP-001,2025-06-09,2025-07-09,3678360.14,30
INV-000293,PO-000298,DEL-000293,SUP-001,2025-06-11,2025-07-11,2155419.16,30
INV-000294,PO-000299,DEL-000294,SUP-001,2025-06-16,2025-07-16,3914698.61,30
INV-000295,PO-000300,DEL-000295,SUP-001,2025-06-20,2025-07-20,2450950.31,30
INV-000296,PO-000301,DEL-000296,SUP-001,2025-06-20,2025-07-20,3099307.66,30
