payment_id,invoice_id,supplier_id,payment_date,amount_pkr,days_vs_due
PAY-000102,INV-000102,SUP-001,2025-06-03,4120187.42,1
PAY-000103,INV-000103,SUP-001,2025-06-13,2687847.16,8
PAY-000104,INV-000104,SUP-001,2025-06-11,2984188.78,2
PAY-000105,INV-000105,SUP-001,2025-06-09,3276650.67,-4
PAY-000106,INV-000106,SUP-001,2025-06-15,2681785.69,-1
PAY-000107,INV-000107,SUP-001,2025-06-20,3666744.12,2
PAY-000108,INV-000108,SUP-001,2025-06-17,2036164.43,-3
PAY-000109,INV-000109,SUP-001,2025-06-30,3419345.96,1
PAY-000110,INV-000110,SUP-001,2025-06-28,2342936.13,1
PAY-000111,INV-000111,SUP-001,2025-07-04,2986170.67,4
PAY-000112,INV-000112,SUP-001,2025-07-07,2791289.41,5
PAY-000113,INV-000113,SUP-001,2025-07-07,2209839.19,2
PAY-000114,INV-000114,SUP-001,2025-07-09,3210481.33,0
PAY-000115,INV-000115,SUP-001,2025-07-10,2285677.41,-1
PAY-000116,INV-000116,SUP-001,2025-07-13,3389989.89,-1
PAY-000117,INV-000117,SUP-001,2025-08-04,2466582.98,16
PAY-000118,INV-000118,SUP-001,2025-07-23,2999949.88,0
PAY-000119,INV-000119,SUP-001,2025-07-26,2988267.5,1
PAY-000120,INV-000120,SUP-001,2025-07-26,2330428.91,-1
PAY-000121,INV-000121,SUP-001,2025-07-30,3861513.12,-1
PAY-000122,INV-000122,SUP-001,2025-08-22,617640.65,20
PAY-000123,INV-000123,SUP-002,2025-02-05,877848.82,1
PAY-000124,INV-000124,SUP-002,2025-02-10,959720.51,0
PAY-000125,INV-000125,SUP-002,2025-02-11,830360.16,1
PAY-000126,INV-000126,SUP-002,2025-02-15,1162272.51,-1
PAY-000127,INV-000127,SUP-002,2025-02-26,696482.33,8
PAY-000128,INV-000128,SUP-002,2025-02-20,1093371.59,0
PAY-000129,INV-000129,SUP-002,2025-02-20,809543.11,-2
PAY-000130,INV-000130,SUP-002,2025-02-25,929989.54,2
PAY-000131,INV-000131,SUP-002,2025-02-25,944810.82,-1
PAY-000132,INV-000132,SUP-002,2025-03-01,746875.05,-1
PAY-000133,INV-000133,SUP-002,2025-03-07,1171240.16,2
PAY-000134,INV-000134,SUP-002,2025-03-06,746140.94,-1
PAY-000135,INV-000135,SUP-002,2025-03-11,1176475.47,0
PAY-000136,INV-000136,SUP-002,2025-03-13,880279.79,-1
PAY-000137,INV-000137,SUP-002,2025-03-22,1003333.82,5
PAY-000138,INV-000138,SUP-002,2025-03-21,846716.98,0
PAY-000139,INV-000139,SUP-002,2025-03-23,775714.33,0
PAY-000140,INV-000140,SUP-002,2025-03-27,1190025.96,2
PAY-000141,INV-000141,SUP-002,2025-04-04,770168.11,6
PAY-000142,INV-000142,SUP-002,2025-04-02,1182047.33,-1
PAY-000143,INV-000143,SUP-002,2025-04-06,1331467.45,2
PAY-000144,INV-000144,SUP-002,2025-04-08,1412371.77,0
PAY-000145,INV-000145,SUP-002,2025-04-17,1512292.62,7
PAY-000146,INV-000146,SUP-002,2025-04-13,1300621.91,1
PAY-000147,INV-000147,SUP-002,2025-04-16,1829601.98,1
PAY-000148,INV-000148,SUP-002,2025-04-19,1147266.5,-1
PAY-000149,INV-000149,SUP-002,2025-04-29,1630720.02,6
PAY-000150,INV-000150,SUP-002,2025-04-28,1463242.0,-1
PAY-000151,INV-000151,SUP-002,2025-05-01,1237378.43,2
PAY-000152,INV-000152,SUP-002,2025-05-04,1661514.73,1
PAY-000153,INV-000153,SUP-002,2025-05-03,1197834.65,0
PAY-000154,INV-000154,SUP-002,2025-05-10,1052604.63,2
PAY-000155,INV-000155,SUP-002,2025-05-21,806495.19,8
PAY-000156,INV-000156,SUP-002,2025-05-15,1240405.54,1
PAY-000157,INV-000157,SUP-002,2025-05-16,1042630.3,0
PAY-000158,INV-000158,SUP-002,2025-05-25,1295035.48,7
PAY-000159,INV-000159,SUP-002,2025-05-25,1212257.14,2
PAY-000160,INV-000160,SUP-002,2025-06-06,1015497.37,8
PAY-000161,INV-000161,SUP-002,2025-05-28,1418019.31,1
PAY-000162,INV-000162,SUP-002,2025-05-30,933968.46,-1
PAY-000163,INV-000163,SUP-002,2025-06-06,1075805.41,3
PAY-000164,INV-000164,SUP-002,2025-06-08,898969.05,1
PAY-000165,INV-000165,SUP-002,2025-06-17,1027122.46,2
PAY-000166,INV-000166,SUP-002,2025-06-15,1098952.15,2
PAY-000167,INV-000167,SUP-002,2025-06-25,1115792.5,8
PAY-000168,INV-000168,SUP-002,2025-06-22,774509.26,1
PAY-000169,INV-000169,SUP-002,2025-06-24,951529.41,-1
PAY-000170,INV-000170,SUP-002,2025-06-25,846255.93,-3
PAY-000171,INV-000171,SUP-002,2025-06-30,939738.34,0
PAY-000172,INV-000172,SUP-002,2025-07-03,921534.2,1
PAY-000173,INV-000173,SUP-002,2025-07-08,703315.2,2
PAY-000174,INV-000174,SUP-002,2025-07-29,980355.96,20
PAY-000175,INV-000175,SUP-002,2025-07-14,661150.75,0
PAY-000176,INV-000176,SUP-002,2025-07-18,929304.09,3
PAY-000177,INV-000177,SUP-002,2025-07-17,753593.08,0
PAY-000178,INV-000178,SUP-002,2025-07-20,839065.36,-1
PAY-000179,INV-000179,SUP-002,2025-07-29,874249.96,5
PAY-000180,INV-000180,SUP-002,2025-07-28,743912.36,-1
PAY-000181,INV-000181,SUP-002,2025-08-01,975913.31,0
PAY-000182,INV-000182,SUP-002,2025-08-02,234918.41,0
PAY-000183,INV-000183,SUP-001,2025-02-06,4180250.23,0
PAY-000184,INV-000184,SUP-001,2025-02-07,3534206.24,-1
PAY-000185,INV-000185,SUP-001,2025-02-11,2520871.18,1
PAY-000186,INV-000186,SUP-001,2025-02-21,4576682.2,8
PAY-000187,INV-000187,SUP-001,2025-02-22,2625518.69,8
PAY-000188,INV-000188,SUP-001,2025-02-24,4939619.89,7
PAY-000189,INV-000189,SUP-001,2025-03-02,2934882.38,8
PAY-000190,INV-000190,SUP-001,2025-03-01,3686069.47,-1
PAY-000191,INV-000191,SUP-001,2025-03-03,3022791.59,0
PAY-000192,INV-000192,SUP-001,2025-03-08,5133780.07,0
PAY-000193,INV-000193,SUP-001,2025-03-12,4593917.88,1
PAY-000194,INV-000194,SUP-001,2025-03-14,3538648.16,1
PAY-000195,INV-000195,SUP-001,2025-03-22,4428881.77,0
PAY-000196,INV-000196,SUP-001,2025-03-20,4250952.04,-1
PAY-000197,INV-000197,SUP-001,2025-03-24,3340695.35,1
PAY-000198,INV-000198,SUP-001,2025-04-02,5620465.92,6
PAY-000199,INV-000199,SUP-001,2025-04-04,3049165.02,5
PAY-000200,INV-000200,SUP-001,2025-04-11,7204154.77,9
PAY-000201,INV-000201,SUP-001,2025-04-09,5779087.47,5
PAY-000202,INV-000202,SUP-001,2025-04-07,8573816.28,0
PAY-000203,INV-000203,SUP-001,2025-04-10,8200716.49,1
PAY-000204,INV-000204,SUP-001,2025-04-22,6086775.61,9
PAY-000205,INV-000205,SUP-001,2025-04-24,9788357.41,8
PAY-000206,INV-000206,SUP-001,2025-04-22,5762644.19,0
PAY-000207,INV-000207,SUP-001,2025-04-25,9655850.33,2
PAY-000208,INV-000208,SUP-001,2025-04-26,7091652.14,1
PAY-000209,INV-000209,SUP-001,2025-04-29,8096819.43,0
PAY-000210,INV-000210,SUP-001,2025-05-01,7914717.69,0
PAY-000211,INV-000211,SUP-001,2025-05-06,4021008.97,2
PAY-000212,INV-000212,SUP-001,2025-05-04,5117411.48,-3
PAY-000213,INV-000213,SUP-001,2025-05-09,3107174.89,0
PAY-000214,INV-000214,SUP-001,2025-05-16,5430732.53,0
PAY-000215,INV-000215,SUP-001,2025-05-23,3987767.67,7
PAY-000216,INV-000216,SUP-001,2025-05-22,4157062.2,1
PAY-000217,INV-000217,SUP-001,2025-05-24,5026596.74,0
PAY-000218,INV-000218,SUP-001,2025-05-27,4048247.11,1
PAY-000219,INV-000219,SUP-001,2025-06-12,6453741.82,15
PAY-000220,INV-000220,SUP-001,2025-06-03,3330015.67,2
PAY-000221,INV-000221,SUP-001,2025-06-04,5192090.82,1
PAY-000222,INV-000222,SUP-001,2025-06-07,3440684.26,0
PAY-000223,INV-000223,SUP-001,2025-06-09,4067743.68,0
PAY-000224,INV-000224,SUP-001,2025-06-17,4149105.65,3
PAY-000225,INV-000225,SUP-001,2025-06-17,2992479.04,-1
PAY-000226,INV-000226,SUP-001,2025-06-22,4333956.79,2
PAY-000227,INV-000227,SUP-001,2025-06-22,2754801.55,0
PAY-000228,INV-000228,SUP-001,2025-06-25,4816893.84,2
PAY-000229,INV-000229,SUP-001,2025-07-07,2981091.6,9
PAY-000230,INV-000230,SUP-001,2025-07-04,3199100.14,2
PAY-000231,INV-000231,SUP-001,2025-07-06,3992729.75,2
PAY-000232,INV-000232,SUP-001,2025-07-06,2826765.09,-1
PAY-000233,INV-000233,SUP-001,2025-07-09,4328537.53,-1
PAY-000234,INV-000234,SUP-001,2025-07-17,2679609.94,6
PAY-000235,INV-000235,SUP-001,2025-07-16,2883176.03,-3
PAY-000236,INV-000236,SUP-001,2025-07-20,3972884.17,-1
PAY-000237,INV-000237,SUP-001,2025-07-31,3936671.68,6
PAY-000238,INV-000238,SUP-001,2025-07-25,2997068.06,-2
PAY-000239,INV-000239,SUP-001,2025-07-28,4605619.04,-2
PAY-000240,INV-000240,SUP-001,2025-08-03,719418.97,0
PAY-000241,INV-000241,SUP-001,2025-02-04,3393036.96,0
PAY-000242,INV-000242,SUP-001,2025-02-08,3433137.62,1
PAY-000243,INV-000243,SUP-001,2025-02-09,2653518.86,-1
PAY-000244,INV-000244,SUP-001,2025-02-13,4405357.99,0
PAY-000245,INV-000245,SUP-001,2025-02-15,2318067.98,0
PAY-000246,INV-000246,SUP-001,2025-02-19,4121750.26,1
PAY-000247,INV-000247,SUP-001,2025-02-18,2869700.15,-2
PAY-000248,INV-000248,SUP-001,2025-02-20,3036306.83,-3
PAY-000249,INV-000249,SUP-001,2025-02-28,3365526.0,1
PAY-000250,INV-000250,SUP-001,2025-03-03,2592091.74,-3
PAY-000251,INV-000251,SUP-001,2025-03-09,4281487.95,2
PAY-000252,INV-000252,SUP-001,2025-03-15,2710956.16,6
PAY-000253,INV-000253,SUP-001,2025-03-10,4405939.24,-1
PAY-000254,INV-000254,SUP-001,2025-03-13,2573880.89,0
PAY-000255,INV-000255,SUP-001,2025-03-24,3423309.74,7
PAY-000256,INV-000256,SUP-001,2025-03-22,3631653.35,1
PAY-000257,INV-000257,SUP-001,2025-03-31,2605650.14,8
PAY-000258,INV-000258,SUP-001,2025-03-21,4605877.64,-4
PAY-000259,INV-000259,SUP-001,2025-03-28,2622654.47,-1
PAY-000260,INV-000260,SUP-001,2025-04-01,4758251.77,-1
PAY-000261,INV-000261,SUP-001,2025-04-08,4966983.35,5
PAY-000262,INV-000262,SUP-001,2025-04-09,7187202.82,0
PAY-000263,INV-000263,SUP-001,2025-04-20,7206899.48,9
PAY-000264,INV-000264,SUP-001,2025-04-12,5736206.73,0
PAY-000265,INV-000265,SUP-001,2025-04-15,8225894.5,-1
PAY-000266,INV-000266,SUP-001,2025-04-19,4585015.68,-1
PAY-000267,INV-000267,SUP-001,2025-05-07,8164167.0,15
PAY-000268,INV-000268,SUP-001,2025-04-21,5560978.47,-4
PAY-000269,INV-000269,SUP-001,2025-05-17,7081680.71,19
PAY-000270,INV-000270,SUP-001,2025-04-29,6545585.91,-1
PAY-000271,INV-000271,SUP-001,2025-05-05,3649823.24,0
PAY-000272,INV-000272,SUP-001,2025-05-17,4780035.39,9
PAY-000273,INV-000273,SUP-001,2025-05-16,2816823.11,7
PAY-000274,INV-000274,SUP-001,2025-05-17,4594613.94,5
PAY-000275,INV-000275,SUP-001,2025-05-20,3571616.36,5
PAY-000276,INV-000276,SUP-001,2025-05-20,4188705.24,2
PAY-000277,INV-000277,SUP-001,2025-05-23,4432477.08,0
PAY-000278,INV-000278,SUP-001,2025-05-28,3174388.06,2
PAY-000279,INV-000279,SUP-001,2025-05-28,5149415.33,0
PAY-000280,INV-000280,SUP-001,2025-06-02,2904291.86,1
PAY-000281,INV-000281,SUP-001,2025-06-08,3770018.64,6
PAY-000282,INV-000282,SUP-001,2025-06-05,2852342.8,0
PAY-000283,INV-000283,SUP-001,2025-06-11,3508026.1,2
PAY-000284,INV-000284,SUP-001,2025-06-14,3324434.17,1
PAY-000285,INV-000285,SUP-001,2025-06-15,2494897.75,0
PAY-000286,INV-000286,SUP-001,2025-07-05,4200395.66,16
PAY-000287,INV-000287,SUP-001,2025-06-25,3177119.55,-1
PAY-000288,INV-000288,SUP-001,2025-06-26,2407319.09,-4
PAY-000289,INV-000289,SUP-001,2025-07-01,2961965.84,1
PAY-000290,INV-000290,SUP-001,2025-07-03,2793992.1,-1
PAY-000291,INV-000291,SUP-001,2025-07-09,2480204.71,1
PAY-000292,INV-000292,SUP-001,2025-07-15,3678360.14,6
PAY-000293,INV-000293,SUP-001,2025-07-10,2155419.16,-1
PAY-000294,INV-000294,SUP-001,2025-07-18,3914698.61,2
PAY-000295,INV-000295,SUP-001,2025-07-21,2450950.31,1
PAY-000296,INV-000296,SUP-001,2025-07-25,3099307.66,5
PAY-000297,INV-000297,SUP-001,2025-07-26,3103980.69,2
PAY-000298,INV-000298,SUP-001,2025-07-25,2533215.1,-1
PAY-000299,INV-000299,SUP-001,2025-07-30,3318230.38,0
PAY-000300,INV-000300,SUP-001,2025-08-07,755466.86,6
PAY-000301,INV-000301,SUP-001,2025-02-04,1730755.63,2
PAY-000302,INV-000302,SUP-001,2025-02-14,1717279.93,7
PAY-000303,INV-000303,SUP-001,2025-02-15,1435925.17,6
PAY-000304,INV-000304,SUP-001,2025-02-13,2006294.61,0
PAY-000305,INV-000305,SUP-001,2025-02-18,1325821.93,2
PAY-000306,INV-000306,SUP-001,2025-02-19,2045838.6,1
PAY-000307,INV-000307,SUP-001,2025-02-24,1440405.01,2
PAY-000308,INV-000308,SUP-001,2025-02-26,1567851.63,1
PAY-000309,INV-000309,SUP-001,2025-02-27,1770844.54,1
PAY-000310,INV-000310,SUP-001,2025-03-20,1318230.86,15
PAY-000311,INV-000311,SUP-001,2025-03-05,1997536.61,-1
PAY-000312,INV-000312,SUP-001,2025-03-11,1405311.32,3
PAY-000313,INV-000313,SUP-001,2025-03-14,2058859.15,3
PAY-000314,INV-000314,SUP-001,2025-03-15,1563969.65,1
PAY-000315,INV-000315,SUP-001,2025-03-15,1738943.53,-1
PAY-000316,INV-000316,SUP-001,2025-03-20,1787535.62,-1
PAY-000317,INV-000317,SUP-001,2025-03-23,1415710.86,0
PAY-000318,INV-000318,SUP-001,2025-03-22,2188675.48,-4
PAY-000319,INV-000319,SUP-001,2025-03-30,1367152.46,1
PAY-000320,INV-000320,SUP-001,2025-04-05,2565956.2,1
PAY-000321,INV-000321,SUP-001,2025-04-02,2504346.32,-2
PAY-000322,INV-000322,SUP-001,2025-04-07,3005232.37,-1
PAY-000323,INV-000323,SUP-001,2025-04-12,3082096.46,1
PAY-000324,INV-000324,SUP-001,2025-04-16,2614476.8,2
PAY-000325,INV-000325,SUP-001,2025-05-03,4028200.05,16
PAY-000326,INV-000326,SUP-001,2025-04-18,2357166.01,-1
PAY-000327,INV-000327,SUP-001,2025-04-27,3492793.12,0
PAY-000328,INV-000328,SUP-001,2025-05-01,2908422.73,5
PAY-000329,INV-000329,SUP-001,2025-04-25,3166484.03,-2
PAY-000330,INV-000330,SUP-001,2025-04-29,3179046.0,-1
PAY-000331,INV-000331,SUP-001,2025-05-05,1884565.42,0
PAY-000332,INV-000332,SUP-001,2025-05-12,2231295.15,5
PAY-000333,INV-000333,SUP-001,2025-05-12,1523977.1,-1
PAY-000334,INV-000334,SUP-001,2025-05-13,2501632.01,-1
PAY-000335,INV-000335,SUP-001,2025-05-17,1731988.49,1
PAY-000336,INV-000336,SUP-001,2025-05-19,2109569.14,-1
PAY-000337,INV-000337,SUP-001,2025-05-25,2290848.63,0
PAY-000338,INV-000338,SUP-001,2025-05-24,1728301.84,-1
PAY-000339,INV-000339,SUP-001,2025-05-28,2660250.58,-1
PAY-000340,INV-000340,SUP-001,2025-06-03,1629727.84,3
PAY-000341,INV-000341,SUP-001,2025-06-02,2229826.92,0
PAY-000342,INV-000342,SUP-001,2025-06-10,1506816.08,2
PAY-000343,INV-000343,SUP-001,2025-06-07,1970692.6,-2
PAY-000344,INV-000344,SUP-001,2025-06-13,1733984.66,2
PAY-000345,INV-000345,SUP-001,2025-06-14,1157029.34,-4
PAY-000346,INV-000346,SUP-001,2025-06-18,2055681.38,-1
PAY-000347,INV-000347,SUP-001,2025-06-26,1190036.87,4
PAY-000348,INV-000348,SUP-001,2025-06-26,1771561.51,0
PAY-000349,INV-000349,SUP-001,2025-06-27,1262298.46,-1
PAY-000350,INV-000350,SUP-001,2025-06-30,1724747.21,0
PAY-000351,INV-000351,SUP-001,2025-07-01,1673295.46,-3
PAY-000352,INV-000352,SUP-001,2025-07-07,1178243.89,1
PAY-000353,INV-000353,SUP-001,2025-07-09,2001628.3,0
PAY-000354,INV-000354,SUP-001,2025-07-09,1149187.3,-2
PAY-000355,INV-000355,SUP-001,2025-07-16,1978013.47,-1
PAY-000356,INV-000356,SUP-001,2025-07-20,1228783.5,1
PAY-000357,INV-000357,SUP-001,2025-07-26,1622684.25,5
PAY-000358,INV-000358,SUP-001,2025-07-26,1620216.49,2
PAY-000359,INV-000359,SUP-001,2025-07-27,1239581.31,-1
PAY-000360,INV-000360,SUP-001,2025-08-01,2074813.66,1
PAY-000361,INV-000361,SUP-001,2025-08-02,342399.9,1
PAY-000362,INV-000362,SUP-001,2025-02-06,737896.93,1
PAY-000363,INV-000363,SUP-001,2025-02-09,644994.9,3
PAY-000364,INV-000364,SUP-001,2025-02-10,586094.32,0
PAY-000365,INV-000365,SUP-001,2025-02-14,739706.67,-1
PAY-000366,INV-000366,SUP-001,2025-02-18,587466.98,2
PAY-000367,INV-000367,SUP-001,2025-03-01,681632.12,9
PAY-000368,INV-000368,SUP-001,2025-02-21,498993.58,0
PAY-000369,INV-000369,SUP-001,2025-02-25,720099.28,0
PAY-000370,INV-000370,SUP-001,2025-02-28,617598.23,0
PAY-000371,INV-000371,SUP-001,2025-03-01,663089.65,-1
PAY-000372,INV-000372,SUP-001,2025-03-24,727370.54,14
PAY-000373,INV-000373,SUP-001,2025-03-17,623491.84,9
PAY-000374,INV-000374,SUP-001,2025-03-10,718028.06,-4
PAY-000375,INV-000375,SUP-001,2025-03-17,626497.46,1
PAY-000376,INV-000376,SUP-001,2025-03-17,827690.81,-3
PAY-000377,INV-000377,SUP-001,2025-03-22,683835.41,0
PAY-000378,INV-000378,SUP-001,2025-03-24,685670.21,0
PAY-000379,INV-000379,SUP-001,2025-03-30,791016.03,3
PAY-000380,INV-000380,SUP-001,2025-04-01,607515.41,4
PAY-000381,INV-000381,SUP-001,2025-03-31,866409.2,0
PAY-000382,INV-000382,SUP-001,2025-04-04,932587.03,0
PAY-000383,INV-000383,SUP-001,2025-04-19,1258406.76,9
PAY-000384,INV-000384,SUP-001,2025-04-14,980256.75,-1
PAY-000385,INV-000385,SUP-001,2025-04-18,922175.65,3
PAY-000386,INV-000386,SUP-001,2025-04-16,1225912.61,0
PAY-000387,INV-000387,SUP-001,2025-04-20,982855.67,0
PAY-000388,INV-000388,SUP-001,2025-04-21,1019703.2,-1
PAY-000389,INV-000389,SUP-001,2025-04-30,999447.96,4
PAY-000390,INV-000390,SUP-001,2025-04-29,1079362.21,2
PAY-000391,INV-000391,SUP-001,2025-05-05,1023013.22,4
PAY-000392,INV-000392,SUP-001,2025-04-29,885373.5,-4
PAY-000393,INV-000393,SUP-001,2025-05-07,857883.6,0
PAY-000394,INV-000394,SUP-001,2025-05-13,755731.06,1
PAY-000395,INV-000395,SUP-001,2025-05-15,850384.3,-1
PAY-000396,INV-000396,SUP-001,2025-05-20,639724.46,3
PAY-000397,INV-000397,SUP-001,2025-05-22,947908.63,3
PAY-000398,INV-000398,SUP-001,2025-05-20,809240.01,-3
PAY-000399,INV-000399,SUP-001,2025-05-23,819604.3,-1
PAY-000400,INV-000400,SUP-001,2025-05-30,948168.49,2
PAY-000401,INV-000401,SUP-001,2025-06-05,766888.32,3
PAY-000402,INV-000402,SUP-001,2025-06-11,762281.35,8
PAY-000403,INV-000403,SUP-001,2025-06-13,561219.91,2
PAY-000404,INV-000404,SUP-001,2025-06-10,731521.48,2
PAY-000405,INV-000405,SUP-001,2025-06-14,661122.25,2
PAY-000406,INV-000406,SUP-001,2025-06-18,630269.95,2
PAY-000407,INV-000407,SUP-001,2025-06-18,680974.44,0
PAY-000408,INV-000408,SUP-001,2025-06-19,527635.19,-1
