store_id,city,region,format,seats,base_ads_pkr,served_by_commissary_id,served_by_cold_warehouse_id,served_by_dry_warehouse_id,in_store_marination,opening_year,has_delivery,has_drive_thru
S-0060,Lahore,Punjab,dine_in,30,265735,,WHC-KHI-01,WHD-KHI-01,True,2012,True,False
S-0061,Lahore,Punjab,dine_in,100,179419,,WHC-KHI-01,WHD-KHI-01,True,2002,True,False
S-0062,Lahore,Punjab,dine_in,60,182367,,WHC-KHI-01,WHD-KHI-01,True,2004,True,False
S-0063,Lahore,Punjab,drive_thru,30,367376,,WHC-KHI-01,WHD-KHI-01,True,1997,True,True
S-0064,Lahore,Punjab,drive_thru,60,261750,,WHC-KHI-01,WHD-KHI-01,True,2015,True,True
S-0065,Lahore,Punjab,drive_thru,45,186669,,WHC-KHI-01,WHD-KHI-01,True,2002,True,True
S-0066,Lahore,Punjab,dine_in,45,205274,,WHC-KHI-01,WHD-KHI-01,True,2020,True,False
S-0067,Lahore,Punjab,dine_in,45,228455,,WHC-KHI-01,WHD-KHI-01,True,2016,True,False
S-0068,Lahore,Punjab,dine_in,45,217025,,WHC-KHI-01,WHD-KHI-01,True,2019,True,False
S-0069,Lahore,Punjab,dine_in,60,161343,,WHC-KHI-01,WHD-KHI-01,True,2018,True,False
S-0070,Lahore,Punjab,dine_in,45,150132,,WHC-KHI-01,WHD-KHI-01,True,2020,True,False
S-0071,Lahore,Punjab,drive_thru,80,205772,,WHC-KHI-01,WHD-KHI-01,True,2006,True,True
S-0072,Lahore,Punjab,drive_thru,30,227969,,WHC-KHI-01,WHD-KHI-01,True,1997,True,True
S-0073,Lahore,Punjab,drive_thru,80,185924,,WHC-KHI-01,WHD-KHI-01,True,2022,True,True
S-0074,Lahore,Punjab,express,30,158458,,WHC-KHI-01,WHD-KHI-01,True,2009,True,False
S-0075,Lahore,Punjab,dine_in,60,167669,,WHC-KHI-01,WHD-KHI-01,True,2004,True,False
S-0076,Lahore,Punjab,drive_thru,80,277799,,WHC-KHI-01,WHD-KHI-01,True,2008,True,True
S-0077,Lahore,Punjab,dine_in,45,152577,,WHC-KHI-01,WHD-KHI-01,True,2018,True,False
S-0078,Lahore,Punjab,dine_in,60,295013,,WHC-KHI-01,WHD-KHI-01,True,2018,True,False
S-0079,Lahore,Punjab,dine_in,80,179275,,WHC-KHI-01,WHD-KHI-01,True,1997,True,False
S-0080,Lahore,Punjab,dine_in,60,201607,,WHC-KHI-01,WHD-KHI-01,True,2008,True,False
S-0081,Islamabad,Federal,dine_in,60,241822,,WHC-KHI-01,WHD-KHI-01,True,2011,True,False
S-0082,Islamabad,Federal,dine_in,100,213935,,WHC-KHI-01,WHD-KHI-01,True,2012,True,False
S-0083,Islamabad,Federal,dine_in,45,281920,,WHC-KHI-01,WHD-KHI-01,True,2015,True,False
S-0084,Islamabad,Federal,dine_in,30,214857,,WHC-KHI-01,WHD-KHI-01,True,2001,True,False
S-0085,Islamabad,Federal,dine_in,30,311251,,WHC-KHI-01,WHD-KHI-01,True,1997,True,False
S-0086,Islamabad,Federal,dine_in,45,212903,,WHC-KHI-01,WHD-KHI-01,True,1998,True,False
S-0087,Islamabad,Federal,dine_in,60,250842,,WHC-KHI-01,WHD-KHI-01,True,2001,True,False
S-0088,Islamabad,Federal,dine_in,60,329792,,WHC-KHI-01,WHD-KHI-01,True,2008,True,False
S-0089,Islamabad,Federal,dine_in,0,226424,,WHC-KHI-01,WHD-KHI-01,True,2024,True,False
S-0090,Islamabad,Federal,dine_in,100,207389,,WHC-KHI-01,WHD-KHI-01,True,2010,True,False
S-0091,Islamabad,Federal,dine_in,45,218029,,WHC-KHI-01,WHD-KHI-01,True,2001,True,False
S-0092,Islamabad,Federal,drive_thru,80,331871,,WHC-KHI-01,WHD-KHI-01,True,2001,True,True
S-0093,Rawalpindi,Punjab,dine_in,30,291985,,WHC-KHI-01,WHD-KHI-01,True,2009,True,False
S-0094,Rawalpindi,Punjab,dine_in,100,192693,,WHC-KHI-01,WHD-KHI-01,True,2019,True,False
S-0095,Rawalpindi,Punjab,express,45,161017,,WHC-KHI-01,WHD-KHI-01,True,2008,True,False
S-0096,Rawalpindi,Punjab,drive_thru,80,245004,,WHC-KHI-01,WHD-KHI-01,True,1997,True,True
S-0097,Rawalpindi,Punjab,drive_thru,100,264384,,WHC-KHI-01,WHD-KHI-01,True,2004,True,True
S-0098,Rawalpindi,Punjab,dine_in,45,204300,,WHC-KHI-01,WHD-KHI-01,True,2009,True,False
S-0099,Rawalpindi,Punjab,dine_in,30,193529,,WHC-KHI-01,WHD-KHI-01,True,2019,True,False
S-0100,Rawalpindi,Punjab,dine_in,60,176239,,WHC-KHI-01,WHD-KHI-01,True,2022,True,False
S-0101,Faisalabad,Punjab,dine_in,60,169147,,WHC-KHI-01,WHD-KHI-01,True,2022,True,False
S-0102,Faisalabad,Punjab,drive_thru,60,152507,,WHC-KHI-01,WHD-KHI-01,True,2020,True,True
S-0103,Faisalabad,Punjab,drive_thru,60,179130,,WHC-KHI-01,WHD-KHI-01,True,2005,True,True
S-0104,Faisalabad,Punjab,dine_in,45,153194,,WHC-KHI-01,WHD-KHI-01,True,1999,True,False
S-0105,Faisalabad,Punjab,dine_in,45,149923,,WHC-KHI-01,WHD-KHI-01,True,2001,True,False
S-0106,Faisalabad,Punjab,drive_thru,80,238858,,WHC-KHI-01,WHD-KHI-01,True,2019,True,True
S-0107,Faisalabad,Punjab,dine_in,45,170364,,WHC-KHI-01,WHD-KHI-01,True,2012,True,False
S-0108,Faisalabad,Punjab,dine_in,45,197928,,WHC-KHI-01,WHD-KHI-01,True,2015,True,False
S-0109,Multan,Punjab,dine_in,60,174076,,WHC-KHI-01,WHD-KHI-01,True,2016,True,False
S-0110,Multan,Punjab,drive_thru,30,194355,,WHC-KHI-01,WHD-KHI-01,True,2017,True,True
S-0111,Multan,Punjab,drive_thru,80,157661,,WHC-KHI-01,WHD-KHI-01,True,2017,True,True
S-0112,Multan,Punjab,drive_thru,100,205540,,WHC-KHI-01,WHD-KHI-01,True,2009,True,True
S-0113,Multan,Punjab,delivery_only,0,99836,,WHC-KHI-01,WHD-KHI-01,True,2007,True,False
S-0114,Multan,Punjab,dine_in,60,211908,,WHC-KHI-01,WHD-KHI-01,True,2008,True,False
S-0115,Multan,Punjab,drive_thru,60,199556,,WHC-KHI-01,WHD-KHI-01,True,2010,True,True
S-0116,Peshawar,KPK,dine_in,80,181927,,WHC-KHI-01,WHD-KHI-01,True,2014,True,False
S-0117,Peshawar,KPK,dine_in,45,129387,,WHC-KHI-01,WHD-KHI-01,True,2004,True,False
S-0118,Peshawar,KPK,dine_in,45,182528,,WHC-KHI-01,WHD-KHI-01,True,2016,True,False
S-0119,Peshawar,KPK,express,30,80000,,WHC-KHI-01,WHD-KHI-01,True,2024,True,False
S-0120,Peshawar,KPK,drive_thru,60,250223,,WHC-KHI-01,WHD-KHI-01,True,2018,True,True
S-0121,Peshawar,KPK,dine_in,0,156821,,WHC-KHI-01,WHD-KHI-01,True,2009,True,False
S-0122,Hyderabad,Sindh,dine_in,60,113105,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2022,True,False
S-0123,Hyderabad,Sindh,drive_thru,60,205867,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,1999,True,True
S-0124,Hyderabad,Sindh,delivery_only,0,106329,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2024,True,False
S-0125,Hyderabad,Sindh,dine_in,80,151419,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2002,True,False
S-0126,Hyderabad,Sindh,delivery_only,0,99441,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2009,True,False
S-0127,Gujranwala,Punjab,dine_in,100,156741,,WHC-KHI-01,WHD-KHI-01,True,2007,True,False
S-0128,Gujranwala,Punjab,dine_in,100,179587,,WHC-KHI-01,WHD-KHI-01,True,2015,True,False
S-0129,Gujranwala,Punjab,dine_in,60,191278,,WHC-KHI-01,WHD-KHI-01,True,1997,True,False
S-0130,Gujranwala,Punjab,dine_in,60,178981,,WHC-KHI-01,WHD-KHI-01,True,2012,True,False
S-0131,Gujranwala,Punjab,express,45,80000,,WHC-KHI-01,WHD-KHI-01,True,2017,True,False
S-0132,Sialkot,Punjab,dine_in,45,154128,,WHC-KHI-01,WHD-KHI-01,True,2022,True,False
S-0133,Sialkot,Punjab,dine_in,100,140044,,WHC-KHI-01,WHD-KHI-01,True,2000,True,False
S-0134,Sialkot,Punjab,drive_thru,45,158553,,WHC-KHI-01,WHD-KHI-01,True,2013,True,True
S-0135,Sialkot,Punjab,dine_in,100,122135,,WHC-KHI-01,WHD-KHI-01,True,2009,True,False
S-0136,Bahawalpur,Punjab,drive_thru,45,182952,,WHC-KHI-01,WHD-KHI-01,True,2014,True,True
S-0137,Bahawalpur,Punjab,dine_in,0,143125,,WHC-KHI-01,WHD-KHI-01,True,2001,True,False
S-0138,Bahawalpur,Punjab,dine_in,60,162817,,WHC-KHI-01,WHD-KHI-01,True,1997,True,False
S-0139,Sargodha,Punjab,delivery_only,0,109942,,WHC-KHI-01,WHD-KHI-01,True,2021,True,False
S-0140,Sargodha,Punjab,delivery_only,0,80000,,WHC-KHI-01,WHD-KHI-01,True,2023,True,False
S-0141,Sargodha,Punjab,dine_in,100,149811,,WHC-KHI-01,WHD-KHI-01,True,2001,True,False
S-0142,Sukkur,Sindh,delivery_only,0,80000,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2017,True,False
S-0143,Sukkur,Sindh,dine_in,45,155331,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2015,True,False
S-0144,Sukkur,Sindh,dine_in,45,152882,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2010,True,False
S-0145,Quetta,Balochistan,dine_in,60,163329,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2004,True,False
S-0146,Quetta,Balochistan,dine_in,0,148552,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2004,True,False
S-0147,Quetta,Balochistan,dine_in,80,186886,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2014,True,False
S-0148,Abbottabad,KPK,dine_in,30,142985,,WHC-KHI-01,WHD-KHI-01,True,2001,True,False
S-0149,Abbottabad,KPK,drive_thru,80,161608,,WHC-KHI-01,WHD-KHI-01,True,2019,True,True
S-0150,Mardan,KPK,drive_thru,80,223863,,WHC-KHI-01,WHD-KHI-01,True,1998,True,True
S-0151,Mardan,KPK,express,60,95468,,WHC-KHI-01,WHD-KHI-01,True,2014,True,False
